ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Voltage Vpp
Code: silica
Concentration: 0 %
Wavelength: 1600 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   40
Ending pos:   80
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   
  51     0.05743103             0.15781021             0.18853073             0.00000000
  52     0.05956345             0.15808411             0.18972168             0.00000000
  53     0.06157532             0.15817108             0.19003448             0.00000000
  54     0.06508942             0.15839081             0.19099808             0.00000000
  55     0.06534119             0.15888062             0.19109268             0.00000000
  56     0.06472626             0.15754089             0.18897171             0.00000000
  57     0.06483231             0.15686646             0.18778915             0.00000000
  58     0.06631317             0.15842743             0.18962250             0.00000000
  59     0.06549072             0.15817184             0.18904190             0.00000000
  60     0.06478500             0.15845184             0.18922653             0.00000000
  61     0.06284027             0.15760956             0.18773880             0.00000000
  62     0.06336441             0.15824051             0.18878250             0.00000000
  63     0.06296997             0.15635605             0.18661041             0.00000000
  64     0.06376724             0.15867538             0.18962097             0.00000000
  65     0.06459732             0.15975647             0.19132843             0.00000000
  66     0.06118393             0.15827103             0.18868179             0.00000000
  67     0.06067200             0.15762634             0.18784256             0.00000000
  68     0.06163330             0.15794601             0.18846054             0.00000000
  69     0.05966721             0.15807190             0.18838730             0.00000000
  70     0.06159286             0.15865173             0.18967056             0.00000000
  71     0.06004944             0.15855713             0.18922272             0.00000000
  72     0.06081619             0.15745239             0.18833084             0.00000000
  73     0.05995026             0.15883026             0.18955231             0.00000000
  74     0.05983200             0.15867004             0.18947678             0.00000000
  75     0.05971680             0.15863266             0.18939362             0.00000000
  76     0.05922318             0.15838623             0.18888702             0.00000000
  77     0.05976715             0.15805740             0.18904343             0.00000000
  78     0.05798645             0.15711136             0.18724976             0.00000000
  79     0.05895538             0.15852051             0.18917389             0.00000000
  80     0.05871811             0.15765915             0.18828735             0.00000000
  81     0.05957565             0.15852432             0.18951645             0.00000000
  82     0.05954971             0.15787430             0.18868027             0.00000000
  83     0.05993652             0.15855789             0.18971481             0.00000000
  84     0.05874252             0.15786209             0.18866348             0.00000000
  85     0.06023941             0.15804062             0.18949127             0.00000000
  86     0.05858383             0.15701141             0.18774414             0.00000000
  87     0.05766754             0.15785065             0.18823471             0.00000000
  88     0.06013489             0.15857468             0.19001694             0.00000000
  89     0.05963058             0.15790939             0.18908234             0.00000000
  90     0.05900879             0.15844650             0.18953247             0.00000000
  91     0.05918961             0.15864029             0.18992920             0.00000000
