ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Voltage Vpp
Code: silica
Concentration: 0 %
Wavelength: 1600 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   40
Ending pos:   80
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   
 172     0.05847549             0.15850754             0.18931961             0.00000000
 173     0.05766754             0.15785065             0.18823471             0.00000000
 174     0.05837784             0.15742340             0.18814774             0.00000000
 175     0.06013489             0.15857468             0.19001694             0.00000000
 176     0.05868225             0.15769501             0.18864746             0.00000000
 177     0.05963058             0.15790939             0.18908234             0.00000000
 178     0.05865555             0.15808640             0.18897705             0.00000000
 179     0.05900879             0.15844650             0.18953247             0.00000000
 180     0.05992050             0.15892487             0.19026108             0.00000000
 181     0.05918961             0.15864029             0.18992920             0.00000000
 182     0.05907593             0.15726624             0.18830109             0.00000000
 183     0.05912704             0.15807495             0.18923645             0.00000000
 184     0.05872269             0.15786514             0.18885803             0.00000000
 185     0.05875549             0.15675812             0.18767319             0.00000000
 186     0.05854645             0.15826721             0.18949585             0.00000000
 187     0.06062241             0.15915985             0.19098434             0.00000000
 188     0.05816345             0.15740967             0.18814392             0.00000000
 189     0.05824051             0.15790482             0.18884125             0.00000000
 190     0.05893250             0.15727997             0.18837738             0.00000000
 191     0.05865860             0.15786362             0.18882751             0.00000000
 192     0.05880737             0.15829697             0.18946152             0.00000000
 193     0.05834351             0.15788727             0.18884888             0.00000000
 194     0.05828247             0.15822754             0.18899536             0.00000000
 195     0.05811844             0.15768051             0.18834610             0.00000000
 196     0.05763397             0.15887680             0.18961105             0.00000000
 197     0.05851898             0.15782013             0.18889694             0.00000000
 198     0.05838242             0.15805206             0.18894653             0.00000000
 199     0.05771713             0.15801086             0.18883438             0.00000000
 200     0.05855637             0.15790024             0.18877029             0.00000000
 201     0.06020966             0.15899200             0.19061127             0.00000000
